title,company_name,location,platform,job_url,snippet,source_type
"Sr. Program Manager, R&D Operations",Cockroach Labs,"Bangalore, India",Greenhouse,https://www.cockroachlabs.com/careers/job/?gh_jid=7951392,"&lt;div class=&quot;job-post-container&quot; style=&quot;position: relative; background-color: white; padding: 20px; max-width: 1000px; margin: 0 auto; box-shadow: 0px 0px 10px rgba(0, 0, 0, 0.1); min-height: 500px; border: 5px solid #0037A5;&quot;&gt; &lt;div style=&quot;position: absolute; top: 0; left: 2; width: 200px; height: 300px; margin-top: 30px; opacity: 1; z-index: 1;&quot;&gt;&amp;nbsp;&lt;/div&gt; &lt;div class=&quot;job-post-content&quot; style=&quot;position: relative; z-index: 2;&quot;&gt; &lt;h1 style=&quot;font-family: Arial, sans-serif; color: rgb(51, 51, 51); line-height: 1.2; margin-top: 20px; text-align: center;&quot;&gt;&lt;img style=&quot;max-width: 100%; float: left;&quot; src=&quot;https://i.imgur.com/b9m4CJj.jpeg&quot; alt=&quot;&quot; width=&quot;92&quot;&gt;&lt;",live
"Senior Program Manager, Enterprise Technology & AI",GitLab,"Remote, Bangalore",Greenhouse,https://job-boards.greenhouse.io/gitlab/jobs/8584282002,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;GitLab is the intelligent orchestration platform for DevSecOps. GitLab enables organizations to increase developer productivity, improve operational efficiency, reduce security and compliance risk, and accelerate digital transformation. More than 50 million registered users and more than 50% of the Fortune 100* trust GitLab to ship better, more secure software faster.&lt;/p&gt; &lt;p&gt;The same principles built into our products are reflected in how our team works: we embrace AI as a core productivity multiplier, with all team members expected to incorporate AI into their daily workflows to drive efficiency, innovation, and impact. GitLab is where careers accelerate, innovation flourishes, and every voice is valued. Our high-performance ",live
Senior Product Manager (Platform Access),JFrog,Bengaluru,Greenhouse,https://join.jfrog.com/job/?job=6638800&gh_jid=6638800,"&lt;div&gt;&lt;strong&gt;Fast-Frogward Your Career to Years From Now&lt;/strong&gt;&lt;br&gt;Be part of a team where your work takes center stage, shaping the future of software development. At JFrog, we solve critical challenges for leaders like Amazon, Google, and Netflix. Every day brings opportunities to innovate and push boundaries in a fast-moving, frogward-thinking culture. If you want your work to matter and thrive on nonstop innovation, JFrog is your place.&lt;br&gt;&lt;br&gt;&lt;strong&gt;Here’s what our employees have to say about working at JFrog:&lt;/strong&gt;&lt;/div&gt; &lt;ul&gt; &lt;li data-start=&quot;472&quot; data-end=&quot;581&quot;&gt;&lt;em data-start=&quot;472&quot; data-end=&quot;581&quot;&gt;&quot;I get to solve complex platform challenges that impact thousands o",live
"Director, Product Management - Integrations",Okta,"Bengaluru, India",Greenhouse,https://www.okta.com/company/careers/opportunity/8022237?gh_jid=8022237,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;Secure Every Identity, from AI to Human&lt;br&gt;&lt;br&gt;&lt;/strong&gt;Identity is the key to unlocking the potential of AI. Okta secures AI by building the trusted, neutral infrastructure that enables organizations to safely embrace this new era. This work requires a relentless drive to solve complex challenges with real-world stakes. We are looking for builders and owners who operate with speed and urgency and execute with excellence.&lt;br&gt;&lt;br&gt;This is an opportunity to do career-defining work. We&#39;re all in on this mission. If you are too, let&#39;s talk.&lt;/p&gt;&lt;/div&gt;&lt;p&gt;Secure Every Identity, from AI to Human&lt;/p&gt; &lt;p&gt;Identity is the key to unlocking the potential of AI. Okta secure",live
"Principal Product Manager, Marketing Technology",Okta,"Bengaluru, India",Greenhouse,https://www.okta.com/company/careers/opportunity/8015002?gh_jid=8015002,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;Secure Every Identity, from AI to Human&lt;br&gt;&lt;br&gt;&lt;/strong&gt;Identity is the key to unlocking the potential of AI. Okta secures AI by building the trusted, neutral infrastructure that enables organizations to safely embrace this new era. This work requires a relentless drive to solve complex challenges with real-world stakes. We are looking for builders and owners who operate with speed and urgency and execute with excellence.&lt;br&gt;&lt;br&gt;This is an opportunity to do career-defining work. We&#39;re all in on this mission. If you are too, let&#39;s talk.&lt;/p&gt;&lt;/div&gt;&lt;h2&gt;&lt;span style=&quot;font-family: arial, helvetica, sans-serif;&quot;&gt;Secure Every Identity, from AI to Human&lt;/span&g",live
"Senior Product Manager, Data Platform",Okta,"Bengaluru, India",Greenhouse,https://www.okta.com/company/careers/opportunity/8022961?gh_jid=8022961,"&lt;div class=&quot;content-intro&quot;&gt;&lt;p&gt;&lt;strong&gt;Secure Every Identity, from AI to Human&lt;br&gt;&lt;br&gt;&lt;/strong&gt;Identity is the key to unlocking the potential of AI. Okta secures AI by building the trusted, neutral infrastructure that enables organizations to safely embrace this new era. This work requires a relentless drive to solve complex challenges with real-world stakes. We are looking for builders and owners who operate with speed and urgency and execute with excellence.&lt;br&gt;&lt;br&gt;This is an opportunity to do career-defining work. We&#39;re all in on this mission. If you are too, let&#39;s talk.&lt;/p&gt;&lt;/div&gt;&lt;p&gt;&lt;strong&gt;Senior Product Manager, Data Platform (India)&lt;/strong&gt;&lt;/p&gt; &lt;p&gt;&lt;strong&gt;Company Overview",live
"Senior Manager, Product Operation - CPQ Strategy & Operations (Night Shift 5:30 PM to 2:30 AM IST)",Rubrik,"Bangalore, India",Greenhouse,https://www.rubrik.com/company/careers/departments/job.7952822?gh_jid=7952822,"&lt;h2&gt;&lt;strong&gt;About the team:&lt;/strong&gt;&lt;/h2&gt; &lt;p&gt;CPQ &amp;amp; NPI Operations team sits within Product Operations and is at the core of how we bring new products to market and optimise our quote-to-cash process. We don’t just operationalise new SKUs—we ensure seamless integration of next-generation quoting tools, drive automation, and enhance the overall sales experience. We partner across Product, Engineering, Sales, Deal Desk, and Finance to streamline how products are configured, quoted, sold, and provisioned. Our team ensures that our CPQ and Product Master tools remain high-performing, scalable systems—balancing automation, policy enforcement, and ease of use without overloading it with unnecessary complexity.&lt;/p&gt; &lt;h2&gt;&lt;strong&gt;What you’ll do?",live
Senior Product Manager-Identity Resilience,Rubrik,"Bangalore, India",Greenhouse,https://www.rubrik.com/company/careers/departments/job.7976001?gh_jid=7976001,"&lt;h2 style=&quot;text-align: center;&quot;&gt;&lt;span style=&quot;text-decoration: underline;&quot;&gt;&lt;strong&gt;Senior Product Manager, Identity Resilience&lt;/strong&gt;&lt;/span&gt;&lt;/h2&gt; &lt;h3&gt;&lt;strong&gt;Location: Bangalore&lt;/strong&gt;&lt;/h3&gt; &lt;h3&gt;&lt;strong&gt;About the Team&lt;/strong&gt;&lt;/h3&gt; &lt;p&gt;The &lt;strong&gt;Identity Resilience&lt;/strong&gt; team is Rubrik&#39;s fastest-growing business line, laser-focused on solving the most critical identity security challenges facing enterprises today. We operate as an entrepreneurial, &quot;0-to-1&quot; portfolio within Rubrik.&lt;/p&gt; &lt;p&gt;As a product organization, we empower PMs to be central leaders who own the entire lifecycle - from board-level strategic vision to deep technical execut",live
Marketing Services Program Manager,Stripe,Bangalore,Greenhouse,https://stripe.com/jobs/search?gh_jid=8069943,"&lt;h2&gt;&lt;strong&gt;Who we are&lt;/strong&gt;&lt;/h2&gt; &lt;h3&gt;&lt;strong&gt;About Stripe&lt;/strong&gt;&lt;/h3&gt; &lt;p&gt;Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career.&lt;/p&gt; &lt;p&gt;&amp;nbsp;&lt;/p&gt; &lt;h3&gt;&lt;strong&gt;About the team&lt;/strong&gt;&lt;/h3&gt; &lt;p&gt;Marketing Services is a team of marketing execution exper",live
"Product Manager, Risk & Compliance",Stripe,Bengaluru,Greenhouse,https://stripe.com/jobs/search?gh_jid=7625842,"&lt;h2&gt;Who we are&lt;/h2&gt; &lt;h3&gt;About Stripe&lt;/h3&gt; &lt;p&gt;Stripe is a financial infrastructure platform for businesses. Millions of companies - from the world&#39;s largest enterprises to the most ambitious startups - use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone&#39;s reach while doing the most important work of your career.&lt;/p&gt; &lt;h3&gt;About the team&lt;/h3&gt; &lt;p&gt;Verification and Identity Platform (VIP) team is a core platform team that powers user onboarding and verification (KYC and KYB) worldwide and ensures continued c",live
